NVERTS 8
NFACES 12

VERTEX
-32.50, 24.36, -81.24
32.50, 24.36, -81.24
20.30, -2.04, 81.24
-20.30, -2.04, 81.24
-132.00, 6.10, -30.46
-40.62, -24.36, -81.24
40.62, -24.36, -81.24
132.00, 6.10, -30.46

FACES
127,127,127,	0.16851,-0.61607,0.76946,	3,	2,1,7
127,127,127,	-0.16532,-0.89602,0.41208,	3,	3,0,1
127,127,127,	-0.25520,0.76178,-0.59546,	3,	3,1,2
127,127,127,	0.24759,-0.76381,-0.59607,	3,	4,0,3
127,127,127,	0.81410,-0.10212,0.57167,	3,	4,3,5
127,127,127,	0.21162,0.87206,0.44128,	3,	5,0,4
127,127,127,	-0.21270,0.57327,0.79128,	3,	5,3,2
127,127,127,	-0.81410,-0.10212,0.57167,	3,	5,2,6
127,127,127,	0,0,0,	3,	6,1,0
127,127,127,	0,0,0,	3,	6,0,5
127,127,127,	0,0,0,	3,	6,2,7
127,127,127,	0,0,0,	3,	7,1,6

TEXTURES
gecko.png	1.0 1.0	0.55 0.00	0.58 0.44	0.85 0.30
gecko.png	1.0 1.0	0.45 0.00	0.41 0.44	0.58 0.44
gecko.png	1.0 1.0	0.45 0.00	0.58 0.44	0.55 0.00
gecko.png	1.0 1.0	0.15 0.30	0.41 0.44	0.45 0.00
gecko.png	1.0 1.0	0.14 0.71	0.44 1.00	0.39 0.57
gecko.png	1.0 1.0	0.39 0.57	0.41 0.44	0.12 0.48
gecko.png	1.0 1.0	0.39 0.57	0.44 1.00	0.55 1.00
gecko.png	1.0 1.0	0.39 0.57	0.55 1.00	0.61 0.57
gecko.png	1.0 1.0	0.61 0.57	0.58 0.44	0.41 0.44
gecko.png	1.0 1.0	0.61 0.57	0.41 0.44	0.39 0.57
gecko.png	1.0 1.0	0.61 0.57	0.55 1.00	0.85 0.71
gecko.png	1.0 1.0	0.88 0.48	0.58 0.44	0.61 0.57

END
