30_0;0,0;125,114
30_1;126,0;125,125
30_2;252,0;125,128
30_3;378,0;125,142
30_4;504,0;125,167
30_5;630,0;124,190
30_6;630,191;124,190
30_7;0,115;125,223
30_8;126,126;125,223
30_9;252,129;125,223
30_10;378,143;125,223
30_11;504,168;125,223
240_1;755,0;150,112
115_1;755,113;150,110
170_1;755,232;150,148
250_1;317,517;150,149
630_1;770,381;135,151
145_1;906,0;150,143
730_1;906,144;150,139
320_1;906,284;150,150
140_1;906,435;150,150
310_1;0,351;160,99
135_1;1057,0;150,161
265_1;1057,162;150,149
435_1;1208,0;150,149
255_1;1208,150;150,149
120_1;1359,0;150,126
210_1;1359,127;150,150
420_1;161,353;138,77
35_1;1057,312;150,131
35_4;1208,312;150,131
35_7;1359,278;150,131
35_9;1057,444;150,131
35_11;1208,444;150,131
35_13;1359,410;150,131
425_1;619,382;150,150
430_1;468,393;150,148
160_1;151,431;150,150
260_1;302,367;150,149
350_1;0,451;150,150
590_1;468,542;150,150
620_1;619,533;150,150
110_1;0,602;150,87
45_1;151,582;97,107
225_1;770,533;102,77
230_1;770,611;102,77
125_1;907,586;96,87
330_1;1359,542;150,149
